epoch,total_loss,task_loss,distill_loss,intermediate_loss,val_psnr,lr,alpha,beta
81,0.010008142134174704,0.012634626161307096,0.002461635577492416,0.24600112974643706,38.13052437779179,0.0001,0.5,0.01
82,0.010204961635172366,0.012835752060636878,0.0026752896106336265,0.24494409561157227,38.10404127904308,0.0001,0.5,0.01
83,0.009803297985345126,0.012291010385379195,0.0025136179639957843,0.24009838521480562,38.08492792155165,0.0001,0.5,0.01
84,0.01038536598905921,0.01308228907175362,0.0026753015723079442,0.25065708041191104,38.08224108126522,0.0001,0.5,0.01
85,0.009698829203844071,0.012284396532922983,0.002369666702579707,0.23717975825071336,38.08937329173738,0.0001,0.5,0.01
86,0.0099605861492455,0.012606976078823209,0.0024595658341422678,0.24273152709007262,38.09238407318322,0.0001,0.5,0.01
87,0.010277254208922386,0.013072353824973106,0.002591073263902217,0.24455407917499541,38.081132681797584,0.0001,0.5,0.01
88,0.010011246036738157,0.012769517935812474,0.002468650182709098,0.2392162036895752,38.123044617329306,0.0001,0.5,0.01
89,0.010248600719496608,0.01301549925468862,0.0025582164782099424,0.24617429435253144,38.1051193387804,0.0001,0.5,0.01
90,0.009944127779453993,0.012596058594062924,0.0024976139096543194,0.23972915410995482,38.092988089348474,0.0001,0.5,0.01
91,0.010147229237481951,0.012720533479005099,0.002681637720670551,0.24461436212062837,38.091359536524706,0.0001,0.5,0.01
92,0.009845392778515816,0.01245389237999916,0.0024392110854387283,0.23988411247730254,38.105911886634814,0.0001,0.5,0.01
93,0.010230940654873849,0.013050251882523298,0.0025956925470381974,0.24079684168100357,38.07094347782437,0.0001,0.5,0.01
94,0.010405647633597255,0.013205191195011139,0.002701081885024905,0.24525111347436904,38.08459379320391,0.0001,0.5,0.01
95,0.009622544189915061,0.01220672668889165,0.002341195463668555,0.23485831677913666,38.10684001348728,0.0001,0.5,0.01
96,0.010055458871647716,0.012766336612403393,0.002554342353250831,0.23951193779706956,38.10445006104284,0.0001,0.5,0.01
97,0.010171420136466623,0.012901285104453564,0.002590557143557817,0.24254990607500077,38.09429760089394,0.0001,0.5,0.01
98,0.01002992051653564,0.012789515685290099,0.0024816862517036496,0.2394319584965706,38.09365631157219,0.0001,0.5,0.01
99,0.010548056364059448,0.013655097773298621,0.0025640316400676964,0.2438491740822792,38.086727544535066,0.0001,0.5,0.01
100,0.00996177103370428,0.012613692041486501,0.0025103021506220104,0.2399773997068405,38.09981354262264,0.0001,0.5,0.01
101,0.010423443950712681,0.013436482204124332,0.0025912142731249334,0.24095957696437836,38.107166821928715,0.0001,0.5,0.01
102,0.009892158629372715,0.0125618458352983,0.0024527009134180846,0.2384885308146477,38.10252427923066,0.0001,0.5,0.01
103,0.009689447339624166,0.012355336146429181,0.0023614785028621553,0.23310400635004044,38.116253413660914,0.0001,0.5,0.01
104,0.010064428094774485,0.012865127651020885,0.002499888865277171,0.23819198787212373,38.09637895519175,0.0001,0.5,0.01
105,0.010164962010458111,0.012953037321567535,0.0025318627431988715,0.2422512122988701,38.109245182402674,0.0001,0.5,0.01
106,0.010268166670575738,0.013053917484357953,0.0026177388802170755,0.24323385417461396,38.07060274966541,0.0001,0.5,0.01
107,0.010163428718224168,0.012880330197513104,0.0026174805487971754,0.2414523407816887,38.06705928406522,0.0001,0.5,0.01
108,0.010142613025382162,0.012743018213659524,0.0025754440319724382,0.2483381924033165,38.103902010381354,0.0001,0.5,0.01
109,0.01018519432283938,0.01304303977638483,0.002572354262229055,0.23774974048137665,38.10714020833131,0.0001,0.5,0.01
110,0.010617814045399427,0.013507762150838971,0.0028214013285469265,0.24532323509454726,38.09023311847778,0.0001,0.5,0.01
111,0.010107812080532312,0.01289622918702662,0.0024947584443725645,0.24123182743787766,38.09345888699678,0.0001,0.5,0.01
112,0.00992231760174036,0.0126899971999228,0.0024604005366563797,0.23471188247203828,38.100890356161116,0.0001,0.5,0.01
113,0.010387701326981186,0.013358539398759604,0.002643490036716685,0.23866866588592528,38.102757310522016,0.0001,0.5,0.01
114,0.010043376432731748,0.012863520495593549,0.002463926556520164,0.23796528965234756,38.114113715504494,0.0001,0.5,0.01
115,0.010084134619683027,0.012819695090875029,0.002602157371584326,0.23732084572315215,38.05080515816639,0.0001,0.5,0.01
116,0.00996985798701644,0.012532126978039742,0.002568957495968789,0.24193157494068146,38.083933407903075,0.0001,0.5,0.01
117,0.010207483675330878,0.013061490673571825,0.0025906894518993796,0.23813936084508897,38.085563616625414,0.0001,0.5,0.01
118,0.010013318387791514,0.012866241559386253,0.0024537094170227645,0.2353342941403389,38.09886014871103,0.0001,0.5,0.01
119,0.010024462966248393,0.01291078481823206,0.0024983097263611854,0.2319915759563446,38.09452902746246,0.0001,0.5,0.01
120,0.010092353243380784,0.012967207543551922,0.002468765538651496,0.23743667662143708,38.06817478997349,0.0001,0.5,0.01
121,0.010148834940046071,0.012994745532050728,0.002559558746870607,0.23716828376054763,38.09842442015211,0.0001,0.5,0.01
122,0.010086482549086213,0.012946070833131672,0.0024919277895241974,0.23674832582473754,38.10647673119557,0.0001,0.5,0.01
123,0.009737088670954108,0.012485904041677714,0.002366131506860256,0.23110709726810455,38.120096825841316,0.0001,0.5,0.01
124,0.010113589307293296,0.012927562026306986,0.002603304248768836,0.23481561809778215,38.10310599952069,0.0001,0.5,0.01
125,0.01000612142495811,0.012857985515147448,0.0024605960818007587,0.2346830740571022,38.10812558049595,0.0001,0.5,0.01
126,0.009800042966380715,0.012599140089005232,0.0023565102857537566,0.23222178012132644,38.099304572338426,0.0001,0.5,0.01
127,0.01018073688261211,0.013119094762951136,0.002559254546649754,0.2341562244296074,38.12511325503342,0.0001,0.5,0.01
