epoch,total_loss,task_loss,distill_loss,intermediate_loss,val_psnr,lr,alpha,beta
55,0.3201575481891632,0.013328881561756134,0.003046535474713892,0.3119698387384415,38.00381899818224,0.0001,0.5,1.0
56,0.3187343406677246,0.012915888372808694,0.002947021038271487,0.31080288767814634,38.00885444099446,0.0001,0.5,1.0
57,0.32175883173942565,0.012945408169180155,0.0029693442583084107,0.3138014557957649,38.01521203523545,0.0001,0.5,1.0
58,0.32358909249305723,0.01388141930103302,0.0032074243505485355,0.3150446698069572,38.03049013681462,0.0001,0.5,1.0
59,0.31693205565214155,0.012668624995276332,0.00287454801495187,0.30916047006845476,38.01570749081035,0.0001,0.5,1.0
60,0.3264895468950272,0.013958992417901755,0.0031536031374707818,0.3179332482814789,38.02702334045618,0.0001,0.5,1.0
61,0.3180456277728081,0.012992457896471023,0.002990505211055279,0.3100541469454765,38.01065925069954,0.0001,0.5,1.0
62,0.31661239683628084,0.013122627213597297,0.0029810806387104093,0.30856054425239565,38.02967866888755,0.0001,0.5,1.0
63,0.31231344997882843,0.012541501838713885,0.0028789913025684655,0.30460320204496383,38.01514496655088,0.0001,0.5,1.0
64,0.3107299607992172,0.012619495242834091,0.002849863348528743,0.30299528300762174,38.01461197260201,0.0001,0.5,1.0
65,0.3119479763507843,0.012865890068933367,0.0029155169939622284,0.30405727177858355,37.98793095360783,0.0001,0.5,1.0
66,0.3156498968601227,0.012624018555507065,0.002816766877658665,0.3079295074939728,38.05166952026749,0.0001,0.5,1.0
67,0.32040510028600694,0.013673598701134325,0.003117109751328826,0.31200974494218825,38.00936313927804,0.0001,0.5,1.0
68,0.31690292060375214,0.012910517659038305,0.003051825379952788,0.30892175137996675,37.99386306075938,0.0001,0.5,1.0
69,0.3089058715105057,0.012535272873938083,0.0028201742330566048,0.30122814774513246,38.020352074894916,0.0001,0.5,1.0
70,0.3187177926301956,0.013503833748400211,0.003186690064612776,0.31037253111600877,38.04093672859484,0.0001,0.5,1.0
71,0.3112577319145203,0.012728303391486406,0.0028534903633408246,0.30346683502197264,38.026779915825664,0.0001,0.5,1.0
72,0.30806963503360746,0.012781025301665068,0.002812953426036984,0.30027264684438704,38.03077489203834,0.0001,0.5,1.0
73,0.31333275318145754,0.0133216368034482,0.0029779473785310983,0.30518295884132385,38.03907612996825,0.0001,0.5,1.0
74,0.3068403822183609,0.012416985798627139,0.0027589280670508743,0.29925242394208906,38.03978528828604,0.0001,0.5,1.0
75,0.3114543882012367,0.01340366180986166,0.0029442469449713826,0.30328043341636657,38.046577302279225,0.0001,0.5,1.0
76,0.30912673711776734,0.013288223324343562,0.002934816492488608,0.30101521760225297,38.02624575280651,0.0001,0.5,1.0
77,0.3061205130815506,0.012427477510645985,0.002694164114072919,0.2985596916079521,38.050169929631785,0.0001,0.5,1.0
78,0.303997366130352,0.01261874869465828,0.002780565044376999,0.2962977084517479,38.00537069406429,0.0001,0.5,1.0
79,0.3102504259347916,0.013096368964761495,0.002931073601357639,0.30223670452833173,38.02865589602012,0.0001,0.5,1.0
80,0.31029156506061556,0.013449755106121302,0.0029511595773510633,0.3020911064743996,38.02511847118716,0.0001,0.5,1.0
81,0.3020202106237411,0.012592396587133408,0.002750380141660571,0.294348823428154,38.04464567961403,0.0001,0.5,1.0
82,0.3129782909154892,0.013513466138392686,0.0030280859838239848,0.3047075140476227,38.044418685552266,0.0001,0.5,1.0
83,0.31061922550201415,0.013357643112540245,0.0029826109064742925,0.30244909673929216,38.06091341893149,0.0001,0.5,1.0
84,0.30889211475849154,0.013491022912785412,0.003088680221699178,0.30060226380825045,38.02009926414808,0.0001,0.5,1.0
85,0.300972127020359,0.012699836334213614,0.002800143558997661,0.2932221356034279,38.056298174682425,0.0001,0.5,1.0
86,0.30681934058666227,0.013090774696320296,0.0028963075787760317,0.29882579803466797,38.030996925191864,0.0001,0.5,1.0
87,0.30167573094367983,0.012510707778856158,0.0028081147186458113,0.29401632308959963,38.029626953894876,0.0001,0.5,1.0
88,0.30820995569229126,0.013054130747914314,0.0029822613834403454,0.30019175946712495,38.036532564134156,0.0001,0.5,1.0
89,0.3058318361639977,0.013309628320857882,0.002989350710995495,0.2976823475956917,38.0600185779879,0.0001,0.5,1.0
90,0.30003920793533323,0.012621750431135297,0.0028145799739286302,0.29232104152441024,38.05503135647461,0.0001,0.5,1.0
91,0.2994909816980362,0.012943329624831676,0.0029148301342502235,0.29156190156936646,38.05067932779787,0.0001,0.5,1.0
92,0.30372347950935363,0.013297960227355361,0.002975407224148512,0.29558679699897766,38.046584573002896,0.0001,0.5,1.0
93,0.30335508078336715,0.012963567776605487,0.002889852693770081,0.29542837023735047,38.041323843532716,0.0001,0.5,1.0
94,0.299285446703434,0.012832949310541153,0.0027366161090321838,0.29150066316127776,38.03622580734116,0.0001,0.5,1.0
95,0.30261330962181093,0.013230956709012389,0.0029258760111406444,0.29453489303588865,38.04230497066145,0.0001,0.5,1.0
96,0.2964185017347336,0.012871667370200157,0.0027207013219594954,0.2886223161220551,38.011625345704736,0.0001,0.5,1.0
97,0.3033512145280838,0.012918147277086973,0.002883574911393225,0.29545035392045976,38.05608686631356,0.0001,0.5,1.0
98,0.2991375997662544,0.01330093527212739,0.00283785144565627,0.29106820791959764,38.039866068952165,0.0001,0.5,1.0
99,0.29929418206214903,0.012729312218725681,0.0027982035023160277,0.2915304237604141,38.0511273968663,0.0001,0.5,1.0
100,0.290809086561203,0.012589508946985007,0.0026154048019088804,0.2832066285610199,38.048636085218725,0.0001,0.5,1.0
101,0.2992805343866348,0.013288362557068467,0.002906361154746264,0.2911831733584404,38.061396479401246,0.0001,0.5,1.0
102,0.29688278794288636,0.01292736896313727,0.002789763791952282,0.28902422189712523,38.057391496760644,0.0001,0.5,1.0
103,0.2956558072566986,0.012703310176730155,0.0027002586610615255,0.28795402467250825,38.03029377718749,0.0001,0.5,1.0
104,0.2985746642947197,0.012877006568014621,0.002810347038321197,0.29073098570108413,38.043361683916714,0.0001,0.5,1.0
105,0.2916145467758179,0.01263941589742899,0.002746987973805517,0.2839213445782661,38.04546925454814,0.0001,0.5,1.0
106,0.30620557636022566,0.013871984090656042,0.0030554271885193884,0.2977418705821037,38.01268317273469,0.0001,0.5,1.0
107,0.2966180247068405,0.013499511480331421,0.002899174524936825,0.2884186816215515,38.06443593473291,0.0001,0.5,1.0
108,0.2927338778972626,0.013190373321995139,0.0028487486811354756,0.2847143179178238,38.051656087618774,0.0001,0.5,1.0
109,0.2959672591090202,0.01321127850562334,0.0028383900853805244,0.2879424253106117,38.032215241845805,0.0001,0.5,1.0
110,0.2901561546325684,0.0129646410420537,0.002749589658342302,0.2822990375757217,38.04687205289648,0.0001,0.5,1.0
