method,final_psnr,best_psnr,best_epoch,final_loss,min_loss
output_kd,38.15116852126382,38.15399938637445,467,0.0041517149843275,0.0041469928761944
feature_kd,38.07608303509912,38.09274568474361,373,0.2506792056560516,0.2481698447465896
fakd_kd,38.13780213144885,38.14955769487391,362,0.0094858622550964,0.0090877905860543
